sim,g,beta,phi_initial,phi_final,phi_max
1,1.181316791789281,0.685927478521694,3.391511905445332,0.008331942479351834,3.391511905445332
2,1.2533905830626626,0.564396384325362,3.3915207175914097,0.0383379086852812,3.3915207175914097
3,1.0970152731319636,0.6176354652635655,3.391646694818107,0.060675696061359655,3.391646694818107
4,1.0736113772608111,0.6433732369661079,3.3915780112849916,0.014883473069911375,3.3915780112849916
5,0.9308143786605131,0.5921298780811878,3.391658565787092,0.1066649112725393,3.391658565787092
6,0.8602778953766672,0.6065896986586263,3.3915176149989055,0.14160867027904955,3.3915176149989055
7,1.011511787849232,0.5688340742993494,3.39158455485137,0.046447966982470355,3.39158455485137
8,1.008371899664356,0.6427676434896512,3.391551141697474,0.01843780183985825,3.391551141697474
9,0.9645102333313569,0.624092518754508,3.3915330357972184,0.013344012277638718,3.3915330357972184
10,0.9132342457270246,0.6137851340541868,3.3916812320365333,0.007081566852101836,3.3916812320365333
