bob_constant,alpha_coupling,g_nonlinear,caputo_alpha,phi,plv,entropy,reynolds,stability,max_density,mean_density
1.8329807108324375e-14,0.4,0.03727593720314938,0.85,3.9999115131275136e-12,1.0000000000000002,11.999999994080163,4.696756709885837,0.9999999999999662,0.000244140625108522,0.00024414062500000005
4.8329302385717516e-14,1.5,0.0007196856730011522,0.65,3.9999115131275136e-12,1.0,11.999999994080165,12.184529812770062,0.9999999999996543,0.0002441406262538397,0.000244140625
3.792690190732238e-12,0.2,0.013894954943731374,0.95,3.9999115131275136e-12,0.9999999999999986,11.999999994080163,959.135781034119,0.9999999999965719,0.00024414063855757656,0.00024414062500000005
3.359818286283788e-13,0.4,0.00016378937069540646,0.95,3.9999115131275136e-12,1.0,11.999999994080165,83.88035416316676,0.9999999999993943,0.0002441406269295828,0.000244140625
3.359818286283788e-13,1.4,9.999999999999999e-05,0.5,4.000022535429977e-12,0.9999999999999996,11.999999994080163,85.52779783174468,0.9999999999977423,0.00024414063372791645,0.000244140625
4.8329302385717516e-14,1.0999999999999999,0.0019306977288832496,0.8,3.9999115131275136e-12,1.0,11.999999994080163,12.08012969731289,0.9999999999997518,0.000244140625853724,0.000244140625
3.792690190732238e-12,0.1,0.00026826957952797245,0.65,3.9999115131275136e-12,0.9999999999999997,11.999999994080163,984.0546451960438,0.9999999999981743,0.00024414063103387885,0.000244140625
5.455594781168514e-13,0.5,9.999999999999999e-05,0.65,3.9999115131275136e-12,1.0,11.99999999408016,137.325550145784,0.9999999999987164,0.00024414062990650337,0.0002441406250000001
1.6237767391887241e-15,0.6,0.005179474679231213,0.95,3.9999115131275136e-12,1.0,11.999999994080163,0.41758145854343354,0.9999999999999953,0.00024414062501557294,0.00024414062500000005
4.8329302385717516e-14,0.2,9.999999999999999e-05,0.95,3.9999115131275136e-12,1.0,11.999999994080163,12.009068117194174,0.9999999999999571,0.0002441406251341013,0.00024414062500000005
2.335721469090121e-12,1.3,0.013894954943731374,0.6,3.9999115131275136e-12,0.999999999999976,11.99999999408016,587.8051483930401,0.9999999999853766,0.00024414067481190357,0.0002441406250000001
1e-15,0.2,0.03727593720314938,0.8,4.000022535429977e-12,1.0,11.999999994080163,0.25492959520999736,0.9999999999999991,0.0002441406250031894,0.000244140625
4.2813323987193956e-15,1.2,0.00016378937069540646,0.95,3.9999115131275136e-12,1.0,11.999999994080163,1.0692206515580511,0.9999999999999769,0.0002441406250816661,0.00024414062500000005
5.455594781168514e-13,1.2,0.0031622776601683794,0.8,3.9999115131275136e-12,0.9999999999999989,11.999999994080163,140.54311374032264,0.9999999999969997,0.0002441406358964209,0.00024414062500000005
