time_s,phi,R_holonomy,Re_semantic,density_max,phase_variance
0.0,5.540881647051034,0.24108481621805897,23.854200014096495,1.0187766221895183,3.229079390701728
0.01,5.540881546689204,0.6114585477423339,23.854202971815603,1.0197690962545223,3.308281950861213
0.02,5.540884109228967,0.22070004593500303,23.854186858402116,1.0196828466573853,3.2044607415530004
0.03,5.540883020327137,0.5862731351332894,23.854192143072854,1.0195967733439188,3.290144469732362
0.04,5.5408812682077855,0.7800501706804644,23.854191609077393,1.0198191154839915,3.3017318679005268
0.05,5.540882168231988,0.558036081995517,23.85418957510262,1.0200736032060296,3.2906420607451636
0.06,5.540883391182543,0.7445115652111847,23.854187319347446,1.0202381320953615,3.296821644427945
0.07,5.540881950608661,0.1347171051366198,23.854196138829113,1.0206158517701387,3.2586053182854613
0.08,5.540882939673308,0.8705883180027255,23.854181569673642,1.0206349309493805,3.327743480438205
0.09,5.54088778549447,0.6960759831669053,23.854156104260145,1.0203833169137284,3.3028232704676816
0.1,5.54088830494543,0.3833914310082509,23.854156909309683,1.0206631683150256,3.326080459171436
0.11,5.540885507801841,0.5378408853907524,23.854158627040245,1.02063696036959,3.319220447404376
0.12,5.540885392671581,0.36989010390500665,23.85417713002364,1.021107904655668,3.24805283302605
0.13,5.5408852802945825,0.6787467674126352,23.8541692259921,1.0216055607366388,3.315381217107035
0.14,5.540885315100623,0.4007399635110997,23.85414927848844,1.021573870226994,3.2443839077934467
0.15,5.540881583880619,0.9004120161081876,23.854162395935372,1.0209697227694627,3.2610426357682956
0.16,5.54087742260747,0.2926097076345158,23.85419322360108,1.0209835887075278,3.3066759202446203
0.17,5.540874970709152,0.5823068821973216,23.854204020902568,1.0200483912438099,3.272460972883515
0.18,5.540878879226316,0.6857470981213498,23.85417491623042,1.0195687869532406,3.2753883488601696
0.19,5.540878641545397,0.3001487886046178,23.8541719199904,1.0196862064805843,3.2877291872415393
0.2,5.540880503764278,0.8106006827851533,23.85417201605198,1.020101804099778,3.227050325052117
0.21,5.54087601476628,0.8578348009621384,23.854193748294932,1.0204651284549573,3.2771503194453433
0.22,5.540870171034349,0.165326010324805,23.85423761818734,1.0204193553950947,3.2998598103798016
0.23,5.540869906207709,0.5958385446268986,23.854241654503998,1.0200055103891479,3.2488997853874735
0.24,5.5408629751320015,0.12199339269770593,23.854277642451923,1.0201531686888032,3.321797375815872
0.25,5.540862948172958,0.7547197520926195,23.85428440862555,1.0199334191872007,3.296922441273438
0.26,5.5408609578508035,0.2884408772311215,23.8542996167158,1.0210338496264442,3.253660644837982
0.27,5.540861891796232,0.17386104953909318,23.854293632951403,1.021170403211849,3.2426087723958528
0.28,5.540865886295739,0.3645376971987649,23.85427942408865,1.0207675741160989,3.20813893785505
0.29,5.540863154114199,0.4967734744802239,23.854298598101135,1.0203458632366238,3.2903815744502776
0.3,5.540866094285271,0.3969155522313052,23.854286802929042,1.0202692415091803,3.3150872273929575
0.31,5.54086187607708,0.5355525178763946,23.854317444819653,1.0196093524263568,3.3094324585904733
0.32,5.540863994732798,0.40277648242511055,23.85431039418983,1.019927129683721,3.3549794699606723
0.33,5.540866334198444,0.41478301099555154,23.854294339185333,1.020977408734711,3.2573562825223625
0.34,5.540865616390523,0.33587763475652843,23.854292784723967,1.0203598432535785,3.3818178139719404
0.35000000000000003,5.540872307894974,0.4643704275607515,23.85425605484673,1.0205847620088944,3.306604579970016
0.36,5.540872058432724,0.2946588709696363,23.854270425327762,1.0211318252166182,3.371728237200376
0.37,5.5408685739846915,0.7151745006881831,23.854297605201953,1.021242572558683,3.2095206497490665
0.38,5.540871727688991,0.30518253805291246,23.854295734497537,1.0222485007851343,3.385368995802128
0.39,5.540871741034877,0.676347660002076,23.854307486293525,1.0216631458385284,3.3397534866201806
