phi,plv,entropy,complexity,fractal_dim,kuramoto,fisher,consciousness_score,sim_id,grid_size
8.083392332870021,0.030873275809625265,4.069107378845285,0.3681640625,1.0,0.11790221231137614,148.07025987598297,0.4142376834071339,1,32
10.0,0.025622578858464296,5.520073520942802,0.1796875,1.4736663971346,0.05608654913763223,14.046463439113742,0.4522518325847741,2,64
10.0,0.03335565434507778,6.825145513427623,0.08428955078125,1.5611444062657143,0.09770623713239737,1.1244083267969023,0.38844448675858434,3,128
10.0,0.025622578858464296,5.520073520942802,0.1796875,1.4736663971346,0.05608654913763223,14.046463439113742,0.4522518325847741,4,64
10.0,0.02562257827087939,5.520073520942812,0.1796875,1.4736663971346,0.05608654918365021,14.046463439113174,0.45225183247185874,5,64
10.0,0.025622578858464296,5.520073520942802,0.1796875,1.4736663971346,0.05608654913763223,14.046463439113742,0.4522518325847741,6,64
10.0,0.02562257827087939,5.520073520942812,0.1796875,1.4736663971346,0.05608654918365021,14.046463439113174,0.45225183247185874,7,64
10.0,0.025622578858464296,5.520073520942802,0.1796875,1.4736663971346,0.05608654913763223,14.046463439113742,0.4522518325847741,8,64
10.0,0.02562257827087939,5.520073520942812,0.1796875,1.4736663971346,0.05608654918365021,14.046463439113174,0.45225183247185874,9,64
10.0,0.025622578858464296,5.520073520942802,0.1796875,1.4736663971346,0.05608654913763223,14.046463439113742,0.4522518325847741,10,64
