simulation,PLV
1,0.7472907753570363
2,0.7005664891181334
3,0.6321375238340108
4,0.4979642411745362
5,0.7457967645002577
6,0.6060856321542013
7,0.7592032286264782
8,0.8722377516338767
9,0.5671520306712108
10,0.7433704711063743
11,0.933276134503791
12,0.5976016569147596
13,0.7344495882458258
14,0.718944999692515
15,0.8481245761974298
16,0.6096076632092622
17,0.5382611383419703
18,0.9334798015822439
19,0.7746864667788563
20,0.7738935359738531
21,0.8455934022738792
22,0.6883575266281681
23,0.7891788984143951
24,0.9018649413746899
25,0.6407390975707785
26,0.7585666676454291
27,0.6273241876631922
28,0.8044573175082282
29,0.9237530198571647
30,0.8905088510742903
