narrative,seed,run_seed,phi,plv,entropy,conductivity,betti_b0,betti_b1,betti_b2
0.0,0,0,0.2946522923693484,0.5764095897104007,8.979156371893927,0.517425397505772,7,0,0
0.0,1,137,0.23944358995639892,0.6170004234138381,10.78302755564153,0.1742144068427546,5,0,0
0.0,2,274,0.2091035397899461,0.45708145495606245,8.249071542124636,0.25638902093970123,3,0,0
0.0,3,411,0.1799092686685183,0.6166464320856289,8.022877372500524,0.15146833857696385,7,0,0
0.0,4,548,0.006381316698317513,0.5266974800872969,8.43812773292529,0.5301058876330785,5,0,0
0.0,5,685,0.27544976203242344,0.5824941466312982,8.7052723302513,0.14715920484288436,4,0,0
0.0,6,822,0.09713112544793348,0.4995309286878383,8.577591728658795,0.33218224064701873,4,0,0
0.0,7,959,0.3445739849682909,0.4742836230381805,7.840364125353592,0.08548506243211637,2,0,0
0.0,8,1096,0.307302084626247,0.4794949138191913,8.326239621953315,0.42728933032535654,1,0,0
0.0,9,1233,0.20129259081612344,0.621996733886906,8.978920669765266,0.31802106847981193,6,0,0
0.0,10,1370,0.06610773189672989,0.5302352641753811,8.834900053300409,0.08265369934622394,6,0,0
0.0,11,1507,0.17420129321926345,0.6314564832594434,9.041555017975826,0.25096167253512425,7,0,0
0.0,12,1644,0.006631041355719486,0.4991950793529913,9.113880949800688,0.1879226127010326,3,0,0
0.0,13,1781,0.0900333046642652,0.6019477415489427,7.911787661303738,0.4007913087440448,5,0,0
0.0,14,1918,0.1021814171198116,0.5095457240404211,8.007987522033147,0.23058761034136782,1,0,0
0.0,15,2055,0.08650470406451813,0.5196264712414157,7.317062970761318,0.3954972967748227,7,0,0
0.0,16,2192,0.10115174983408315,0.565429724109149,8.074062589266259,0.2637796626765101,3,0,0
0.0,17,2329,0.10847131589773992,0.5676088153727459,9.431681165705069,0.41088631217199334,3,0,0
0.0,18,2466,0.1265758302961563,0.6200896072445352,8.098049279106727,0.02557227159358688,3,0,0
0.0,19,2603,0.005076195953295809,0.5292981862436591,8.666954506407269,0.11809409600320578,5,0,0
0.0,20,2740,0.11103311784518534,0.5905952653604105,8.290794755560015,0.39020007930665257,6,0,0
0.0,21,2877,0.1600489526324222,0.5281228826802938,8.247323909244741,0.13020255232637584,7,0,0
0.0,22,3014,0.07982291747199292,0.6471645408175658,8.942895745812727,0.3584237051514556,7,0,0
0.0,23,3151,0.19354192377604204,0.6457092875957985,8.11273977209052,0.31683303347033726,2,0,0
0.0,24,3288,0.05546206763715926,0.4875578602520118,7.82825761350813,0.23800834295258558,3,0,0
0.0,25,3425,0.0,0.622657813412111,8.741942975201482,0.39081315510175674,3,0,0
0.0,26,3562,0.0,0.5473677131963351,8.3056573452333,-0.0006091378972025163,2,0,0
0.0,27,3699,0.19904450450279398,0.5715746821361991,9.013398139841224,0.12711936928306916,2,0,0
0.0,28,3836,0.20931159054275097,0.5161507833655667,8.98574643600271,0.3024498426165423,5,0,0
0.0,29,3973,0.2122905032360387,0.473914642728926,8.261123587518528,0.30187953758878816,2,0,0
0.5,0,500,0.3170561863800304,0.7281722939599954,7.578229211541287,0.8087226952413256,1,1,0
0.5,1,637,0.528438579293288,0.6482856136855113,6.472707245920238,0.6195979689366892,2,1,0
0.5,2,774,0.37737233257682423,0.7517590722737186,6.683386096354786,0.6003960307089456,4,2,0
0.5,3,911,0.31314837056011374,0.789632894011376,6.91914469385015,0.5307907499665487,5,3,0
0.5,4,1048,0.47561103014783934,0.8533263288691729,7.671833588463068,0.5207298135234548,4,2,0
0.5,5,1185,0.3251728861517847,0.6928528746158581,6.66443394872272,0.6610329323344901,6,0,0
0.5,6,1322,0.39216382192801125,0.6920680139435372,6.69121378069988,0.5532001875266194,6,3,0
0.5,7,1459,0.39710329369124975,0.7515746958274362,6.948588493638346,0.6717989109347169,1,1,0
0.5,8,1596,0.3594351329866411,0.7985011974908526,7.889819257411837,0.6772981512961128,5,2,0
0.5,9,1733,0.2576942571059221,0.6451934698927234,7.238888370650884,0.165684196615621,3,0,0
0.5,10,1870,0.20219671724987692,0.8031999791440939,7.3764989868897315,0.4035737881587698,1,0,0
0.5,11,2007,0.23915250771126714,0.7685647740333981,7.9307295221048815,0.653238225600827,3,0,0
0.5,12,2144,0.22396703150013458,0.7385954618393609,7.162515388309497,0.4150176756320896,2,1,0
0.5,13,2281,0.3565898464790832,0.7232986422490759,7.933206070250605,0.7158762525435415,1,3,0
0.5,14,2418,0.4538418014177747,0.7387560334100769,7.773974759846983,0.5285709198745296,1,0,0
0.5,15,2555,0.22565289363494773,0.7345793808848206,7.243623402619645,0.5999973249787813,4,1,0
0.5,16,2692,0.3376259882014274,0.7649564272038912,6.450612377900333,0.534959517808425,5,1,0
0.5,17,2829,0.2554233966622512,0.6563578442487302,7.295769767710591,0.6407439544081552,1,1,0
0.5,18,2966,0.42241992196335054,0.7451513730274488,7.163767989686652,0.49174737290884885,1,0,0
0.5,19,3103,0.4961433105590916,0.7352521272183347,6.66207206134432,0.49747434206586383,6,3,0
0.5,20,3240,0.2722629559166675,0.735428798619466,7.393960129155007,0.47873204655197227,5,1,0
0.5,21,3377,0.30931181732413987,0.7919234245535239,7.211927697547352,0.5097973785770675,1,1,0
0.5,22,3514,0.35900306169577045,0.7713502529778334,7.1782384712725475,0.6569823693747419,2,2,0
0.5,23,3651,0.30121429232790814,0.7466085801224166,6.762532967252846,0.5034126689741556,2,3,0
0.5,24,3788,0.25947704759013074,0.7900144298853038,7.526359808733039,0.6453594360563855,3,0,0
0.5,25,3925,0.3251567810168764,0.7267939262610076,7.1795585392384025,0.7345462368810769,2,5,0
0.5,26,4062,0.3073516694518286,0.7037332992023773,6.970156323675743,0.5361167530593557,2,0,0
0.5,27,4199,0.310069826691415,0.7427624039514823,7.057117481050353,0.48486959439732563,1,1,0
0.5,28,4336,0.3881931097312157,0.737235090229899,7.780978602120432,0.63965292783191,2,1,0
0.5,29,4473,0.4709681945372518,0.8756103709541232,6.847948909672103,0.5551269333378283,2,1,0
1.0,0,1000,0.582034419110966,0.8385768243724813,6.767003730959243,0.8590302117543641,2,2,0
1.0,1,1137,0.5919772763134592,0.8164148577580944,6.54262891105078,0.8862324171460789,1,0,0
1.0,2,1274,0.7301848585426556,0.8403227829378734,7.351657163239096,0.9396424760005948,3,3,0
1.0,3,1411,0.6029836097519894,0.727507970004697,7.003201326906267,0.8288561201251107,2,3,0
1.0,4,1548,0.6127734516102874,0.8912289945736557,7.336102641889738,0.8336002110343284,2,3,0
1.0,5,1685,0.7608443256367073,0.797807953677941,6.868453738337255,0.8033074355991454,3,3,0
1.0,6,1822,0.525037356652558,0.8643950473344278,6.508741522183002,0.752030183449964,2,2,0
1.0,7,1959,0.7809647869776309,0.8416855391486447,6.357017782556714,0.7742818090660285,3,3,0
1.0,8,2096,0.8054862720049674,0.8360559121216825,6.371085396370932,0.564237944963085,2,4,0
1.0,9,2233,0.6093929807310076,0.8470168701253984,6.161307740551106,0.536401799911314,1,5,0
1.0,10,2370,0.6844144923625177,0.8815206564828597,7.426811657637711,0.8138974936805874,3,1,0
1.0,11,2507,0.5110177024224454,0.8682141418129832,7.104154382301754,0.705327948466069,1,4,0
1.0,12,2644,0.6622778592250886,0.9402327645132242,6.194238328113873,0.8862976471841648,2,3,0
1.0,13,2781,0.6380926687049738,0.8017940386844966,6.417751814830266,0.6182263796208067,4,4,0
1.0,14,2918,0.6603828912550388,0.8483735513916949,6.7055789655381846,0.8440088367260968,2,4,0
1.0,15,3055,0.6610916642664727,0.834267401184631,6.963797981125978,0.8810817559338838,1,2,0
1.0,16,3192,0.6264467016579601,0.8912796582410297,6.447177238157339,0.8595217494162686,1,8,0
1.0,17,3329,0.4960379333237739,0.9121923208591177,7.161716677116622,0.7241224705406002,1,2,0
1.0,18,3466,0.7623950748846992,0.768288227832214,6.455841341713538,0.7508176098314302,1,1,0
1.0,19,3603,0.5684061552473525,0.7721122784618895,6.388540388314173,0.8943356639084222,1,2,0
1.0,20,3740,0.7046980674503915,0.8988542550534911,7.386525696233399,0.9290480370840635,3,1,0
1.0,21,3877,0.6149272125733977,0.8017656300464904,6.939363265377665,0.8094503479223418,2,3,0
1.0,22,4014,0.6968348802272856,0.7298012424891787,7.68627707367557,0.7609323469475192,1,1,0
1.0,23,4151,0.8042911323949812,0.7854147067542112,6.704149135756731,0.6996465554365636,1,2,0
1.0,24,4288,0.7341010424024437,0.8665470211647941,5.498903849724269,0.6283607505515793,5,2,0
1.0,25,4425,0.5848485083404202,0.8335098106417147,7.070475092163522,0.7413281539499359,3,8,0
1.0,26,4562,0.5499356971015302,0.8329432182638568,7.580069769051583,0.7889178654495956,2,4,0
1.0,27,4699,0.7495949634486765,0.7783166430138919,7.228002192140997,0.8779846136980255,3,1,0
1.0,28,4836,0.6734232244865949,0.8432731374701976,6.6328455369066575,0.8713522132079488,1,3,0
1.0,29,4973,0.6690532418850718,0.8810803177323308,6.146123883227981,0.5789433380174526,2,5,0
